ssoc,title,major_group,gross_wage_median,gross_wage_25th,gross_wage_75th,exposure,bottleneck,market_resilience,market_modifier,net_risk,risk_band,augmentation,augmentation_band,impact_type,confidence_level,confidence_score,match_quality
12112,Administration manager,MANAGERS,6388,4569,8431,0.9728,0.8057,0.4751,0.8337,0.1576,moderate,0.3724,high,ai_leveraged,high,0.7667,direct
12221,Advertising/Public relations manager,MANAGERS,8514,5943,13333,0.8280,0.7727,0.6703,0.7654,0.1440,low,0.4288,high,ai_leveraged,high,0.9239,direct
13430,Aged care services manager,MANAGERS,7759,6091,9997,0.2524,0.6176,0.4609,0.8387,0.0809,low,0.0718,low,stable,high,0.7667,direct
14330,Arts and cultural centre manager (including gallery and museum manager),MANAGERS,4550,3800,6650,0.6880,0.9750,0.4421,0.8453,0.0145,very_low,0.2966,moderate,ai_leveraged,medium,0.6390,direct
14322,Attractions manager,MANAGERS,6195,4300,8080,0.3203,0.6569,0.4780,0.8327,0.0915,low,0.1005,low,stable,medium,0.4333,direct
12113,Audit manager,MANAGERS,10041,7692,14166,0.9728,0.8057,0.5689,0.8009,0.1514,moderate,0.4459,high,ai_leveraged,high,0.7667,direct
12111,Budgeting and financial accounting manager (including financial controller),MANAGERS,9203,6550,14200,0.9728,0.8057,0.5892,0.7938,0.1500,moderate,0.4618,high,ai_leveraged,high,0.7667,direct
12212,Business development manager,MANAGERS,8669,5957,13189,0.8709,0.7469,0.5732,0.7994,0.1762,moderate,0.3728,high,ai_leveraged,high,0.7575,direct
12242,Call centre manager,MANAGERS,5968,4114,8310,0.6619,0.4519,0.4951,0.8267,0.3000,moderate,0.1481,low,mixed,medium,0.6585,direct
14122,Catering manager,MANAGERS,4697,3675,6160,0.3033,0.6970,0.4245,0.8514,0.0783,low,0.0897,low,stable,high,0.7139,direct
13301,Chief information officer/Chief technology officer/Chief security officer,MANAGERS,15258,10949,20000,0.6125,0.9902,0.7138,0.7502,0.0045,very_low,0.4329,high,ai_leveraged,high,0.7852,direct
11203,Chief operating officer/General Manager,MANAGERS,12750,8470,16100,0.5872,0.9358,0.6256,0.7811,0.0294,very_low,0.3438,high,ai_leveraged,high,0.7667,direct
13492,"Community, partnership and relations manager",MANAGERS,6250,5140,7585,0.6499,0.8485,0.4010,0.8597,0.0847,low,0.2211,moderate,ai_leveraged,high,0.7667,direct
11202,Company director,MANAGERS,11000,5200,16602,0.5872,0.9358,0.6653,0.7671,0.0289,very_low,0.3656,high,ai_leveraged,high,0.7667,direct
13230,Construction manager,MANAGERS,7600,5200,11154,0.7061,0.8547,0.5375,0.8119,0.0833,low,0.3244,high,ai_leveraged,high,0.7667,direct
12241,Customer service manager,MANAGERS,8470,5925,13015,0.6619,0.4519,0.5664,0.8018,0.2909,moderate,0.1694,moderate,mixed,medium,0.6585,direct
14391,Event manager,MANAGERS,5960,4820,7920,0.5228,0.7799,0.4279,0.8502,0.0979,low,0.1745,moderate,ai_leveraged,high,0.7470,direct
13463,Financial risk manager,MANAGERS,12924,9275,18658,0.5829,0.5651,0.6452,0.7742,0.1963,moderate,0.2125,moderate,ai_leveraged,medium,0.7000,direct
13461,Financial services manager,MANAGERS,8750,5380,16569,0.5829,0.5651,0.6059,0.7879,0.1998,moderate,0.1996,moderate,ai_leveraged,medium,0.7000,direct
14123,Food and beverage operations manager,MANAGERS,5286,3839,8364,0.3033,0.6970,0.5076,0.8224,0.0756,low,0.1073,low,stable,high,0.7139,direct
13420,Health services manager,MANAGERS,9839,6262,13690,0.7582,0.7326,0.6106,0.7863,0.1594,moderate,0.3391,high,ai_leveraged,high,0.7667,direct
14110,Hotel operations/Lodging services manager,MANAGERS,4970,4019,7020,0.5321,0.9055,0.4423,0.8452,0.0425,very_low,0.2131,moderate,ai_leveraged,high,0.7667,direct
13304,ICT service manager,MANAGERS,9503,7280,13226,0.6125,0.9902,0.6289,0.7799,0.0047,very_low,0.3814,high,ai_leveraged,high,0.7852,direct
12122,Industrial relations manager,MANAGERS,9176,6490,14997,0.7461,0.7219,0.5995,0.7902,0.1639,moderate,0.3229,high,ai_leveraged,high,0.7667,direct
13462,Insurance services manager,MANAGERS,10466,6657,16338,0.5829,0.5651,0.6430,0.7749,0.1965,moderate,0.2118,moderate,ai_leveraged,medium,0.7000,direct
12192,Landscape manager,MANAGERS,4300,2800,6000,0.6499,0.8485,0.5481,0.8082,0.0796,low,0.3022,high,ai_leveraged,high,0.8667,direct
11201,Managing director/Chief executive officer,MANAGERS,13000,6065,20000,0.5872,0.9358,0.6997,0.7551,0.0285,very_low,0.3845,high,ai_leveraged,high,0.7667,direct
13210,Manufacturing manager,MANAGERS,8571,6126,11110,0.7061,0.8547,0.5143,0.8200,0.0841,low,0.3104,high,ai_leveraged,high,0.7667,direct
12222,Marketing manager,MANAGERS,8841,6000,13061,0.8280,0.7727,0.6285,0.7800,0.1468,low,0.4021,high,ai_leveraged,high,0.8572,direct
13493,Media and broadcasting manager,MANAGERS,6010,4745,8074,0.6499,0.8485,0.4391,0.8463,0.0833,low,0.2421,moderate,ai_leveraged,high,0.7667,direct
12214,Merchandising/Category manager,MANAGERS,8746,6000,13320,0.8709,0.7469,0.5778,0.7978,0.1759,moderate,0.3758,high,ai_leveraged,high,0.7575,direct
13303,"Network, communications and infrastructure manager",MANAGERS,10750,8493,14724,0.6125,0.9902,0.6435,0.7748,0.0047,very_low,0.3903,high,ai_leveraged,high,0.7852,direct
12215,Online sales channel manager,MANAGERS,7614,5731,12500,0.8709,0.7469,0.5425,0.8101,0.1786,moderate,0.3529,high,ai_leveraged,high,0.7575,direct
12121,Personnel/Human resource manager,MANAGERS,8197,5777,12919,0.7461,0.7219,0.5610,0.8036,0.1667,moderate,0.3022,high,ai_leveraged,high,0.7667,direct
12131,Policy manager,MANAGERS,12053,9098,15278,0.4603,0.9715,0.6539,0.7711,0.0101,very_low,0.2924,moderate,ai_leveraged,high,0.8667,direct
13245,Port/Shipping operations manager,MANAGERS,8695,7382,10894,0.6289,0.8788,0.4555,0.8406,0.0641,low,0.2518,moderate,ai_leveraged,high,0.7667,direct
13244,Postal service manager,MANAGERS,7910,5550,12414,0.6289,0.8788,0.5535,0.8063,0.0615,low,0.3059,high,ai_leveraged,high,0.7667,direct
12191,Premises and facilities maintenance manager (excluding building security manager),MANAGERS,6542,5000,8704,0.6499,0.8485,0.5084,0.8221,0.0809,low,0.2803,moderate,ai_leveraged,high,0.8667,direct
13410,Pre-school education manager,MANAGERS,6080,2749,8434,0.2524,0.6176,0.5457,0.8090,0.0781,low,0.0851,low,stable,high,0.7667,direct
13242,Procurement/Purchasing manager,MANAGERS,8367,6000,12248,0.6289,0.8788,0.5471,0.8085,0.0616,low,0.3024,high,ai_leveraged,high,0.7667,direct
13100,Production manager in agriculture and fisheries,MANAGERS,6930,5580,10389,0.2474,0.9189,0.4879,0.8292,0.0166,very_low,0.1109,low,stable,high,0.7667,direct
13292,Quality control/assurance manager,MANAGERS,9100,6174,14094,0.5985,0.8690,0.5963,0.7913,0.0620,low,0.3101,high,ai_leveraged,high,0.7188,direct
12213,Regional sales manager,MANAGERS,11000,7245,17850,0.8709,0.7469,0.6518,0.7719,0.1702,moderate,0.4240,high,ai_leveraged,high,0.7575,direct
12230,Research and development manager,MANAGERS,10896,7061,17189,0.2474,0.9189,0.6502,0.7724,0.0155,very_low,0.1478,low,ai_leveraged,high,0.7667,direct
14121,Restaurant manager,MANAGERS,4000,3000,4710,0.3033,0.6970,0.4024,0.8592,0.0790,low,0.0851,low,stable,high,0.7139,direct
14201,Retail manager,MANAGERS,4500,3517,6420,0.5448,0.7585,0.4534,0.8413,0.1107,low,0.1873,moderate,ai_leveraged,medium,0.5391,direct
12133,Risk management manager,MANAGERS,11946,7558,18332,0.4603,0.9715,0.7483,0.7381,0.0097,very_low,0.3347,high,ai_leveraged,high,0.8667,direct
12211,Sales manager,MANAGERS,7049,5000,10353,0.8709,0.7469,0.5225,0.8171,0.1801,moderate,0.3399,high,ai_leveraged,high,0.7575,direct
13451,School principal,MANAGERS,6967,5755,8853,0.7462,0.9786,0.4252,0.8512,0.0136,very_low,0.3105,high,ai_leveraged,medium,0.6069,direct
12194,Security manager,MANAGERS,6729,3800,10000,0.6499,0.8485,0.6014,0.7895,0.0777,low,0.3316,high,ai_leveraged,high,0.8667,direct
13441,Social service manager,MANAGERS,5643,4130,8319,0.4635,0.7077,0.4890,0.8288,0.1123,low,0.1604,moderate,ai_leveraged,medium,0.7000,direct
13302,Software and applications manager,MANAGERS,10779,7620,15816,0.6125,0.9902,0.7723,0.7297,0.0044,very_low,0.4684,high,ai_leveraged,high,0.8519,direct
