DataSeries,20253Q,20252Q,20251Q,20244Q,20243Q,20242Q,20241Q,20234Q,20233Q,20232Q,20231Q,20224Q,20223Q,20222Q,20221Q,20214Q,20213Q,20212Q,20211Q,20204Q,20203Q,20202Q,20201Q,20194Q,20193Q,20192Q,20191Q,20184Q,20183Q,20182Q,20181Q,20174Q,20173Q,20172Q,20171Q,20164Q,20163Q,20162Q,20161Q,20154Q,20153Q,20152Q,20151Q,20144Q,20143Q,20142Q,20141Q,20134Q,20133Q,20132Q,20131Q,20124Q,20123Q,20122Q,20121Q,20114Q,20113Q,20112Q,20111Q,20104Q,20103Q,20102Q,20101Q,20094Q,20093Q,20092Q,20091Q,20084Q,20083Q,20082Q,20081Q,20074Q,20073Q,20072Q,20071Q,20064Q,20063Q,20062Q,20061Q,20054Q,20053Q,20052Q,20051Q,20044Q,20043Q,20042Q,20041Q,20034Q,20033Q,20032Q,20031Q,20024Q,20023Q,20022Q,20021Q,20014Q,20013Q,20012Q,20011Q,20004Q,20003Q,20002Q,20001Q,19994Q,19993Q,19992Q,19991Q,19984Q,19983Q,19982Q,19981Q,19974Q,19973Q,19972Q,19971Q,19964Q,19963Q,19962Q,19961Q,19954Q,19953Q,19952Q,19951Q,19944Q,19943Q,19942Q,19941Q,19934Q,19933Q,19932Q,19931Q,19924Q,19923Q,19922Q,19921Q,19914Q,19913Q,19912Q,19911Q,19904Q,19903Q,19902Q,19901Q
Total,67800,78100,82200,75800,61400,82600,82200,78300,78100,89400,97400,102700,107200,127000,123100,114000,104200,93800,67000,53000,53300,42800,44400,50000,52900,53900,54700,57800,63300,58300,52100,46600,53100,50000,45300,44500,53800,50500,49200,50600,60000,63000,63700,61200,67400,63900,60500,56500,61900,52100,51100,43900,56400,47300,46800,51700,54000,55900,49300,44100,50200,45100,37300,35800,36900,26100,22900,27400,40400,42300,40900,40800,38800,39200,35700,33300,32200,33000,26100,19800,20100,19200,17500,16200,18900,15400,15400,13100,13100,12000,12100,12900,17200,16100,13900,12500,14100,17300,19800,22100,32400,29800,26200,22000,25100,19300,16800,12600,15500,19100,26100,32000,44600,44700,46900,37300,44300,46700,48600,40700,47800,48400,47800,40000,46500,44300,44000,34200,40200,39000,39300,34100,37900,41700,38700,31400,40900,39700,40400,36100,47300,46100,45100
    Goods Producing Industries,15800,17900,18200,17200,11600,17800,17500,15600,13200,16400,17900,20800,21000,28200,27700,26900,26200,27600,15900,11000,9300,5900,7800,7600,8800,9500,11000,12300,13900,10700,9900,7900,9600,8500,8400,7200,8900,8400,8200,8700,10700,10500,11400,11700,13600,12900,12100,11700,12900,11900,12300,9600,12200,11900,11400,11800,12900,14700,13300,11200,12300,11300,10300,8500,9500,5900,4000,4500,11300,12000,12100,12400,11000,11400,11000,10100,10300,12000,8300,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
        Manufacturing,6500,7700,8000,8200,6100,8700,9400,8500,6700,8500,9500,11300,12100,15900,14500,13800,13400,15200,8900,5900,5400,4600,6100,6000,6200,6900,7200,7500,9200,8300,8100,6000,7200,6200,6600,5200,6100,6200,5900,6400,6800,6800,7800,7600,9200,8900,8200,7400,8200,7700,7700,6000,7100,7700,7600,7800,8500,10300,9200,7400,8500,8900,7800,6100,6000,4300,2700,2900,7300,7700,8300,8800,7900,8400,9000,8000,8600,9300,7300,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"            Food, Beverages & Tobacco",1000,1200,1400,1900,900,1400,1400,1300,1200,1500,1300,1600,1400,1800,1800,1700,1500,1400,800,1000,1000,500,500,700,700,600,700,600,1000,600,600,600,600,600,500,400,700,700,800,800,1000,600,600,800,1100,500,800,800,800,500,700,500,800,400,400,800,1000,600,500,700,600,400,300,200,500,300,200,200,300,500,400,400,400,400,300,400,300,300,300,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
            Paper/Rubber/Plastic Products & Printing,100,300,200,300,300,400,500,400,400,500,500,600,500,800,1200,1100,900,1400,700,400,400,200,200,300,200,200,300,400,400,300,300,300,300,400,300,300,200,300,300,200,300,400,500,400,400,600,500,400,400,500,500,300,400,400,600,500,600,500,600,500,600,500,500,300,400,300,200,300,400,700,700,700,600,500,600,500,500,500,400,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"            Petroleum, Chemical & Pharmaceutical Products",500,700,700,1100,900,1000,1400,1400,700,800,800,900,1000,1200,1100,1100,800,1000,500,500,400,500,600,700,600,600,700,600,700,800,700,400,500,400,400,400,500,500,400,500,400,700,600,500,600,500,600,400,500,500,700,400,400,500,400,400,400,500,400,300,500,400,400,300,300,300,300,300,500,500,400,300,500,500,400,300,300,400,200,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"            Fabricated Metal Products, Machinery & Equipment",1700,1400,1800,1400,1200,1800,1800,1800,1400,1700,2300,3400,4100,4700,3800,3100,3500,4400,2400,1200,1200,600,900,1000,1400,1600,1200,1300,1800,1900,1500,1400,1300,1100,1100,700,1000,1200,1300,1100,1300,1400,1800,2100,2700,2200,1900,2000,2500,1800,2000,1400,2100,2600,2400,2600,2000,2300,1700,1200,2100,2000,1800,1200,1500,700,500,600,2500,1800,2200,2400,2600,2000,2700,2800,2200,2400,1700,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"            Electronic, Computer & Optical Products",1400,1900,1800,1300,1400,1700,1500,1000,700,1100,1300,1600,2200,3600,3100,3000,3100,3200,1800,1300,1100,1700,2200,1500,1700,1800,1900,2100,2100,2400,2600,1900,3000,2300,2800,2300,2000,1700,1400,1500,1500,2000,2500,1600,1900,2500,2000,1700,1400,1800,1800,1600,1300,2000,1900,2000,2400,2700,2400,2300,2500,3200,2100,1200,800,1300,500,300,1200,2000,2000,2200,1600,2000,2400,2100,2800,3000,2600,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
            Transport Equipment,1000,1200,1200,1500,900,1700,2000,2000,1500,1800,2000,2000,1600,2400,2000,2000,1800,2400,1300,500,400,200,900,1400,900,1400,1400,1600,1900,1400,1600,900,900,900,900,600,900,700,900,1600,1300,800,1000,1500,1600,1600,1600,1300,1600,1500,1100,1100,1200,1300,1300,1100,1300,3100,2900,1800,1400,1400,1600,1700,1600,1000,900,900,2000,1800,2100,2200,1800,2200,1900,1500,1800,2000,1500,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
            Other Manufacturing Industries,700,1000,900,700,600,800,800,600,700,1100,1300,1300,1200,1400,1500,1800,1800,1400,1300,1000,900,800,900,500,700,700,900,800,1200,800,700,500,600,600,500,500,700,1000,800,700,900,800,800,600,900,900,800,800,900,1100,1000,700,800,500,600,500,900,700,800,700,700,1100,1100,1000,800,300,100,400,400,500,500,700,600,800,700,400,600,700,600,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
