quarter,industry1,industry2,occupation1,job_vacancy_rate
"1998-Q1","total","total","total","2.7"
"1998-Q1","total","total","professional, managers, executive and technicians","2.4"
"1998-Q1","total","total","clerical, sales and services workers","3.2"
"1998-Q1","total","total","production and transport operators, cleaners and labourers","2.5"
"1998-Q1","manufacturing","food, beverages and tobacco","total","1.6"
"1998-Q1","manufacturing","food, beverages and tobacco","professional, managers, executive and technicians","-"
"1998-Q1","manufacturing","food, beverages and tobacco","clerical, sales and services workers","2.3"
"1998-Q1","manufacturing","food, beverages and tobacco","production and transport operators, cleaners and labourers","1.3"
"1998-Q1","manufacturing","textile and wearing apparel","total","5.1"
"1998-Q1","manufacturing","textile and wearing apparel","professional, managers, executive and technicians","-"
"1998-Q1","manufacturing","textile and wearing apparel","clerical, sales and services workers","-"
"1998-Q1","manufacturing","textile and wearing apparel","production and transport operators, cleaners and labourers","6.3"
"1998-Q1","manufacturing","paper products and publishing","total","1.7"
"1998-Q1","manufacturing","paper products and publishing","professional, managers, executive and technicians","1.8"
"1998-Q1","manufacturing","paper products and publishing","clerical, sales and services workers","2.4"
"1998-Q1","manufacturing","paper products and publishing","production and transport operators, cleaners and labourers","1.5"
"1998-Q1","manufacturing","petroleum and chemical products","total","2"
"1998-Q1","manufacturing","petroleum and chemical products","professional, managers, executive and technicians","2.1"
"1998-Q1","manufacturing","petroleum and chemical products","clerical, sales and services workers","-"
"1998-Q1","manufacturing","petroleum and chemical products","production and transport operators, cleaners and labourers","2.4"
"1998-Q1","manufacturing","rubber and plastic products","total","1.5"
"1998-Q1","manufacturing","rubber and plastic products","professional, managers, executive and technicians","-"
"1998-Q1","manufacturing","rubber and plastic products","clerical, sales and services workers","-"
"1998-Q1","manufacturing","rubber and plastic products","production and transport operators, cleaners and labourers","1.5"
"1998-Q1","manufacturing","fabricated metal products","total","1.7"
"1998-Q1","manufacturing","fabricated metal products","professional, managers, executive and technicians","1.5"
"1998-Q1","manufacturing","fabricated metal products","clerical, sales and services workers","2"
"1998-Q1","manufacturing","fabricated metal products","production and transport operators, cleaners and labourers","1.7"
"1998-Q1","manufacturing","machinery and equipment","total","3.1"
"1998-Q1","manufacturing","machinery and equipment","professional, managers, executive and technicians","2.1"
"1998-Q1","manufacturing","machinery and equipment","clerical, sales and services workers","2"
"1998-Q1","manufacturing","machinery and equipment","production and transport operators, cleaners and labourers","3.6"
"1998-Q1","manufacturing","electrical products","total","1.4"
"1998-Q1","manufacturing","electrical products","professional, managers, executive and technicians","2.4"
"1998-Q1","manufacturing","electrical products","clerical, sales and services workers","-"
"1998-Q1","manufacturing","electrical products","production and transport operators, cleaners and labourers","1.1"
"1998-Q1","manufacturing","electronic products","total","2.8"
"1998-Q1","manufacturing","electronic products","professional, managers, executive and technicians","3.3"
"1998-Q1","manufacturing","electronic products","clerical, sales and services workers","2.1"
"1998-Q1","manufacturing","electronic products","production and transport operators, cleaners and labourers","2.7"
"1998-Q1","manufacturing","medical and precision instruments","total","1.4"
"1998-Q1","manufacturing","medical and precision instruments","professional, managers, executive and technicians","3.2"
"1998-Q1","manufacturing","medical and precision instruments","clerical, sales and services workers","-"
"1998-Q1","manufacturing","medical and precision instruments","production and transport operators, cleaners and labourers","-"
"1998-Q1","manufacturing","transport equipment","total","2.7"
"1998-Q1","manufacturing","transport equipment","professional, managers, executive and technicians","2.3"
"1998-Q1","manufacturing","transport equipment","clerical, sales and services workers","5.2"
"1998-Q1","manufacturing","transport equipment","production and transport operators, cleaners and labourers","2.5"
"1998-Q1","manufacturing","other manufacturing industries","total","1.4"
"1998-Q1","manufacturing","other manufacturing industries","professional, managers, executive and technicians","-"
"1998-Q1","manufacturing","other manufacturing industries","clerical, sales and services workers","-"
"1998-Q1","manufacturing","other manufacturing industries","production and transport operators, cleaners and labourers","1.6"
"1998-Q1","construction","construction","total","2.2"
"1998-Q1","construction","construction","professional, managers, executive and technicians","1.6"
"1998-Q1","construction","construction","clerical, sales and services workers","1.8"
"1998-Q1","construction","construction","production and transport operators, cleaners and labourers","2.4"
"1998-Q1","services","wholesale and retail trade","total","2.4"
"1998-Q1","services","wholesale and retail trade","professional, managers, executive and technicians","1.8"
"1998-Q1","services","wholesale and retail trade","clerical, sales and services workers","2.4"
"1998-Q1","services","wholesale and retail trade","production and transport operators, cleaners and labourers","3.4"
"1998-Q1","services","hotels and restaurants","total","6.2"
"1998-Q1","services","hotels and restaurants","professional, managers, executive and technicians","4.1"
"1998-Q1","services","hotels and restaurants","clerical, sales and services workers","6.3"
"1998-Q1","services","hotels and restaurants","production and transport operators, cleaners and labourers","9.4"
"1998-Q1","services","transport, storage and communications","total","2.7"
"1998-Q1","services","transport, storage and communications","professional, managers, executive and technicians","2.8"
"1998-Q1","services","transport, storage and communications","clerical, sales and services workers","3.3"
"1998-Q1","services","transport, storage and communications","production and transport operators, cleaners and labourers","2"
"1998-Q1","services","financial intermediation","total","1.9"
"1998-Q1","services","financial intermediation","professional, managers, executive and technicians","1.8"
"1998-Q1","services","financial intermediation","clerical, sales and services workers","2"
"1998-Q1","services","financial intermediation","production and transport operators, cleaners and labourers","2.1"
"1998-Q1","services","business and real estate services","total","2.4"
"1998-Q1","services","business and real estate services","professional, managers, executive and technicians","2.4"
"1998-Q1","services","business and real estate services","clerical, sales and services workers","2.9"
"1998-Q1","services","business and real estate services","production and transport operators, cleaners and labourers","1.9"
"1998-Q1","services","community, social and personal services","total","3.9"
"1998-Q1","services","community, social and personal services","professional, managers, executive and technicians","3.8"
"1998-Q1","services","community, social and personal services","clerical, sales and services workers","4.1"
"1998-Q1","services","community, social and personal services","production and transport operators, cleaners and labourers","3.9"
"1998-Q1","others","others","total","3.2"
"1998-Q1","others","others","professional, managers, executive and technicians","-"
"1998-Q1","others","others","clerical, sales and services workers","-"
"1998-Q1","others","others","production and transport operators, cleaners and labourers","-"
"1998-Q2","total","total","total","2"
"1998-Q2","total","total","professional, managers, executive and technicians","1.9"
"1998-Q2","total","total","clerical, sales and services workers","2.7"
"1998-Q2","total","total","production and transport operators, cleaners and labourers","1.6"
"1998-Q2","manufacturing","food, beverages and tobacco","total","1.6"
"1998-Q2","manufacturing","food, beverages and tobacco","professional, managers, executive and technicians","-"
