ssoc,title,major_group,gross_wage_median,gross_wage_25th,gross_wage_75th,employment_thousands,employment_basis,employment_tier,bls_proxy_employment,wage_pool_proxy_tier,exposure,bottleneck,market_resilience,market_modifier,net_risk,risk_band,augmentation,augmentation_band,impact_type,anthropic_calibrated,anthropic_gap,sol_match,jobs_in_demand_match,confidence_level,confidence_score,match_quality,education_label,education_tier,pwm_covered,licensed_profession,foreign_worker_dependency,skillsfuture_eligible
12112,Administration manager,MANAGERS,6388,4569,8431,8.5,estimated_sg_submajor,derived_from_official_sg,8,external_proxy,0.7922,0.8057,0.4751,0.8337,0.1283,low,0.3033,low,ai_leveraged,true,-0.0373,false,false,high,0.8333,direct,Graduate Degree,external_proxy,false,false,false,false
12221,Advertising/Public relations manager,MANAGERS,8514,5943,13333,8.5,estimated_sg_submajor,derived_from_official_sg,0.25,external_proxy,0.7210,0.7727,0.6703,0.7654,0.1254,low,0.3734,low,ai_leveraged,true,-0.1368,false,exact,high,0.8905,direct,University Degree,external_proxy,false,false,false,false
13430,Aged care services manager,MANAGERS,7759,6091,9997,5.1,estimated_sg_submajor,derived_from_official_sg,3.25,external_proxy,0.3452,0.6176,0.4609,0.8387,0.1107,low,0.0983,very_low,stable,true,-0.1658,false,false,high,0.8333,direct,GCE O-Level / Secondary,external_proxy,false,false,false,false
14330,Arts and cultural centre manager (including gallery and museum manager),MANAGERS,4550,3800,6650,3.7,estimated_sg_submajor,derived_from_official_sg,1.6,external_proxy,0.5694,0.9750,0.4421,0.8453,0.0120,very_low,0.2455,low,ai_leveraged,true,0.1662,false,false,high,0.7057,direct,Graduate Degree,external_proxy,false,false,false,false
14322,Attractions manager,MANAGERS,6195,4300,8080,3.7,estimated_sg_submajor,derived_from_official_sg,2.92,external_proxy,0.3442,0.6569,0.4780,0.8327,0.0984,low,0.1081,very_low,stable,true,0.1198,false,false,medium,0.5000,direct,University Degree,external_proxy,false,false,false,false
12113,Audit manager,MANAGERS,10041,7692,14166,8.5,estimated_sg_submajor,derived_from_official_sg,8,external_proxy,0.7922,0.8057,0.5689,0.8009,0.1233,low,0.3631,low,ai_leveraged,true,-0.0373,false,false,high,0.8333,direct,Graduate Degree,external_proxy,false,false,false,false
12111,Budgeting and financial accounting manager (including financial controller),MANAGERS,9203,6550,14200,8.5,estimated_sg_submajor,derived_from_official_sg,8,external_proxy,0.7922,0.8057,0.5892,0.7938,0.1222,low,0.3761,low,ai_leveraged,true,-0.0373,false,false,high,0.8333,direct,Graduate Degree,external_proxy,false,false,false,false
12212,Business development manager,MANAGERS,8669,5957,13189,8.5,estimated_sg_submajor,derived_from_official_sg,2,external_proxy,0.7762,0.7469,0.5732,0.7994,0.1571,moderate,0.3323,low,ai_leveraged,true,-0.0499,false,false,high,0.8242,direct,University Degree,external_proxy,false,false,false,false
12242,Call centre manager,MANAGERS,5968,4114,8310,8.5,estimated_sg_submajor,derived_from_official_sg,14.34,external_proxy,0.7090,0.4519,0.4951,0.8267,0.3213,high,0.1586,very_low,mixed,true,0.1357,false,false,high,0.7252,direct,Polytechnic / ITE Diploma,external_proxy,false,false,false,false
14122,Catering manager,MANAGERS,4697,3675,6160,3.7,estimated_sg_submajor,derived_from_official_sg,7.22,external_proxy,0.4365,0.6970,0.4245,0.8514,0.1126,low,0.1292,very_low,ai_leveraged,true,0.1257,false,false,high,0.7806,direct,GCE O-Level / Secondary,external_proxy,false,false,false,false
