ssoc,title,major_group,gross_wage_median,gross_wage_25th,gross_wage_75th,estimated_sg_employment_thousands,employment_thousands,employment_basis,employment_tier,bls_proxy_employment,wage_pool_proxy_tier,exposure,bottleneck,market_resilience,market_modifier,net_risk,risk_band,augmentation,augmentation_band,impact_type,structural_risk,structural_risk_band,transition_adjusted_risk,transition_adjusted_band,transition_adjusted_impact_type,realized_risk_proxy,adaptation_capacity,adaptation_buffer,demand_fragility,reallocation_capacity,profile,anthropic_calibrated,anthropic_gap,sol_match,jobs_in_demand_match,exposure_blend_strategy,exposure_agreement,exposure_source_count,exposure_source_weights,signal_conflict,signal_conflict_reasons,confidence_level,confidence_score,confidence_source_coverage,confidence_signal_agreement,confidence_sensitivity,structural_model_version,scoring_basis,baseline_v42_exposure,baseline_v42_net_risk,baseline_v42_risk_band,baseline_v42_augmentation,baseline_v42_impact_type,baseline_v43_exposure,baseline_v43_net_risk,baseline_v43_risk_band,baseline_v43_augmentation,baseline_v43_impact_type,match_quality,education_label,education_tier,pwm_covered,licensed_profession,foreign_worker_dependency,skillsfuture_eligible
12112,Administration manager,MANAGERS,6388,4569,8431,8.5,8.5,estimated_sg_submajor,derived_from_official_sg,8,external_proxy,0.4250,0.8057,0.4945,0.8269,0.0683,low,0.1138,very_low,stable,0.0683,low,0.0618,low,stable,0.0069,0.4734,0.0947,0.0000,1.0000,shielded,true,-0.0373,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8039,1.0000,0.4500,0.6500,V5,posterior_task_aware_v5,0.7879,0.1266,low,0.3139,ai_leveraged,0.5295,0.0851,low,0.2110,ai_leveraged,direct,Graduate Degree,external_proxy,false,false,false,false
12221,Advertising/Public relations manager,MANAGERS,8514,5943,13333,8.5,8.5,estimated_sg_submajor,derived_from_official_sg,0.25,external_proxy,0.6533,0.7727,0.6844,0.7605,0.1129,low,0.2573,low,ai_leveraged,0.1129,low,0.1025,low,ai_leveraged,0.0231,0.4635,0.0927,0.0000,0.5000,leveraged,true,-0.1368,false,exact,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.9093,1.0000,0.8500,0.8500,V5,posterior_ensemble_fallback_v5,0.7180,0.1241,low,0.3797,ai_leveraged,0.7180,0.1241,low,0.3797,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
13430,Aged care services manager,MANAGERS,7759,6091,9997,5.1,5.1,estimated_sg_submajor,derived_from_official_sg,3.25,external_proxy,0.3037,0.6176,0.4745,0.8339,0.0968,low,0.0383,very_low,stable,0.0968,low,0.0884,low,stable,0.0097,0.4345,0.0869,0.0000,1.0000,shielded,true,-0.1658,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8339,1.0000,0.4500,0.8500,V5,posterior_task_aware_v5,0.3442,0.1097,low,0.1009,stable,0.2411,0.0769,low,0.0707,stable,direct,GCE O-Level / Secondary,external_proxy,false,false,false,false
14330,Arts and cultural centre manager (including gallery and museum manager),MANAGERS,4550,3800,6650,3.7,3.7,estimated_sg_submajor,derived_from_official_sg,1.6,external_proxy,0.6047,0.9750,0.4421,0.8453,0.0129,very_low,0.1393,very_low,ai_leveraged,0.0129,very_low,0.0119,very_low,ai_leveraged,0.0013,0.3974,0.0795,0.0479,0.3954,leveraged,true,0.1662,false,false,reliability_weighted,divergent,3,aioe:0.3193|anthropic:0.3486|eloundou:0.3321,false,divergent_exposure_sources,medium,0.6911,0.8200,0.4500,0.8500,V5,posterior_task_aware_v5,0.5724,0.0121,very_low,0.2468,ai_leveraged,0.5760,0.0122,very_low,0.2483,ai_leveraged,direct,Graduate Degree,external_proxy,false,false,false,false
14322,Attractions manager,MANAGERS,6195,4300,8080,3.7,3.7,estimated_sg_submajor,derived_from_official_sg,2.92,external_proxy,0.5426,0.6569,0.5120,0.8208,0.1541,moderate,0.0883,very_low,stable,0.1541,moderate,0.1433,low,stable,0.0299,0.3522,0.0704,0.0479,0.3954,shielded,true,0.1198,false,false,reliability_weighted,aligned_mid,2,aioe:0.4780|anthropic:0.5220,false,,medium,0.5174,0.5500,0.8500,0.6500,V5,posterior_task_aware_v5,0.3469,0.0977,low,0.1167,stable,0.4344,0.1223,low,0.1461,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
12113,Audit manager,MANAGERS,10041,7692,14166,8.5,8.5,estimated_sg_submajor,derived_from_official_sg,8,external_proxy,0.6634,0.8057,0.5679,0.8013,0.1042,low,0.1800,very_low,ai_leveraged,0.1042,low,0.0950,low,ai_leveraged,0.0124,0.4389,0.0878,0.0479,0.3954,leveraged,true,-0.0373,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8339,1.0000,0.4500,0.8500,V5,posterior_task_aware_v5,0.7879,0.1227,low,0.3605,ai_leveraged,0.7114,0.1107,low,0.3255,ai_leveraged,direct,Graduate Degree,external_proxy,false,false,false,false
12111,Budgeting and financial accounting manager (including financial controller),MANAGERS,9203,6550,14200,8.5,8.5,estimated_sg_submajor,derived_from_official_sg,8,external_proxy,0.7313,0.8057,0.5914,0.7930,0.1129,low,0.2228,low,ai_leveraged,0.1129,low,0.1021,low,ai_leveraged,0.0138,0.4797,0.0959,0.0116,0.9371,leveraged,true,-0.0373,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8339,1.0000,0.4500,0.8500,V5,posterior_task_aware_v5,0.7879,0.1214,low,0.3754,ai_leveraged,0.8040,0.1239,low,0.3831,ai_leveraged,direct,Graduate Degree,external_proxy,false,false,false,false
12212,Business development manager,MANAGERS,8669,5957,13189,8.5,8.5,estimated_sg_submajor,derived_from_official_sg,2,external_proxy,0.7296,0.7469,0.5538,0.8062,0.1500,moderate,0.1992,very_low,ai_leveraged,0.1500,moderate,0.1364,low,ai_leveraged,0.0104,0.4550,0.0910,0.0427,0.7751,leveraged,true,-0.0499,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8570,1.0000,0.8500,0.6500,V5,posterior_task_aware_v5,0.7738,0.1579,moderate,0.3200,ai_leveraged,0.7960,0.1624,moderate,0.3293,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
12242,Call centre manager,MANAGERS,5968,4114,8310,8.5,8.5,estimated_sg_submajor,derived_from_official_sg,14.34,external_proxy,0.6411,0.4519,0.4985,0.8255,0.2926,moderate,0.0919,very_low,at_risk,0.2926,moderate,0.2689,moderate,at_risk,0.0705,0.4045,0.0809,0.0479,0.3954,retooling,true,0.1357,false,false,reliability_weighted,consensus_high,3,aioe:0.3193|anthropic:0.3486|eloundou:0.3321,false,high_risk_but_positive_labour_market,high,0.7582,0.8200,0.9500,0.6500,V5,posterior_task_aware_v5,0.7109,0.3217,high,0.1602,mixed,0.6630,0.3000,high,0.1494,mixed,direct,Polytechnic / ITE Diploma,external_proxy,false,false,false,false
14122,Catering manager,MANAGERS,4697,3675,6160,3.7,3.7,estimated_sg_submajor,derived_from_official_sg,7.22,external_proxy,0.5687,0.6970,0.4412,0.8456,0.1470,low,0.0904,very_low,stable,0.1470,low,0.1359,low,stable,0.0287,0.3760,0.0752,0.0479,0.3954,shielded,true,0.1257,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.7643,1.0000,0.4500,0.6500,V5,posterior_task_aware_v5,0.4380,0.1122,low,0.1347,ai_leveraged,0.4916,0.1260,low,0.1512,ai_leveraged,direct,GCE O-Level / Secondary,external_proxy,false,false,false,false
13301,Chief information officer/Chief technology officer/Chief security officer,MANAGERS,15258,10949,20000,5.1,5.1,estimated_sg_submajor,derived_from_official_sg,1.95,external_proxy,0.6636,0.9902,0.7258,0.7460,0.0049,very_low,0.2514,low,ai_leveraged,0.0049,very_low,0.0044,very_low,ai_leveraged,0.0008,0.4585,0.0917,0.0452,0.8177,leveraged,true,-0.2073,prefix,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.7803,1.0000,0.4500,0.8500,V5,posterior_task_aware_v5,0.4780,0.0035,very_low,0.3436,ai_leveraged,0.6178,0.0045,very_low,0.4440,ai_leveraged,direct,Graduate Degree,external_proxy,false,false,false,false
11203,Chief operating officer/General Manager,MANAGERS,12750,8470,16100,16.8,16.8,estimated_sg_submajor,derived_from_official_sg,34.18,external_proxy,0.6211,0.9358,0.6274,0.7804,0.0314,very_low,0.1957,very_low,ai_leveraged,0.0314,very_low,0.0288,very_low,ai_leveraged,0.0020,0.4055,0.0811,0.0479,0.3954,leveraged,true,0.169,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8939,1.0000,0.8500,0.8500,V5,posterior_task_aware_v5,0.6291,0.0315,very_low,0.3693,ai_leveraged,0.6135,0.0307,very_low,0.3602,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
13492,"Community, partnership and relations manager",MANAGERS,6250,5140,7585,5.1,5.1,estimated_sg_submajor,derived_from_official_sg,12.28,external_proxy,0.6171,0.8485,0.4077,0.8573,0.0802,low,0.1469,very_low,ai_leveraged,0.0802,low,0.0734,low,ai_leveraged,0.0164,0.4204,0.0841,0.0000,0.5000,leveraged,true,-0.1153,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8939,1.0000,0.8500,0.8500,V5,posterior_ensemble_fallback_v5,0.6473,0.0841,low,0.2239,ai_leveraged,0.6473,0.0841,low,0.2239,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
11202,Company director,MANAGERS,11000,5200,16602,16.8,16.8,estimated_sg_submajor,derived_from_official_sg,34.18,external_proxy,0.6562,0.9358,0.6708,0.7652,0.0324,very_low,0.2298,low,ai_leveraged,0.0324,very_low,0.0294,very_low,ai_leveraged,0.0070,0.4641,0.0928,0.0287,0.7395,leveraged,true,0.169,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8939,1.0000,0.8500,0.8500,V5,posterior_task_aware_v5,0.6291,0.0309,very_low,0.3949,ai_leveraged,0.6696,0.0329,very_low,0.4203,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
13230,Construction manager,MANAGERS,7600,5200,11154,5.1,5.1,estimated_sg_submajor,derived_from_official_sg,5.07,external_proxy,0.5819,0.8547,0.5259,0.8159,0.0693,low,0.1385,very_low,ai_leveraged,0.0693,low,0.0638,low,ai_leveraged,0.0173,0.3983,0.0797,0.0248,0.5548,leveraged,true,-0.0558,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8339,1.0000,0.4500,0.8500,V5,posterior_task_aware_v5,0.5880,0.0697,low,0.2643,ai_leveraged,0.5686,0.0674,low,0.2556,ai_leveraged,direct,University Degree,external_proxy,false,false,false,false
