ssoc,title,major_group,gross_wage_median,gross_wage_25th,gross_wage_75th,estimated_sg_employment_thousands,employment_thousands,employment_basis,employment_family_code,employment_family_total_thousands,employment_weight_within_family,employment_estimate_method,employment_tier,bls_proxy_employment,wage_pool_proxy_tier,exposure,task_signal,exposure_v7,bottleneck,displacement_pressure,demand_signal_bonus,demand_persistence,demand_resilience,market_resilience,market_modifier,net_risk,risk_band,augmentation,augmentation_band,impact_type,profile,anthropic_calibrated,anthropic_gap,sol_match,jobs_in_demand_match,exposure_blend_strategy,exposure_agreement,exposure_source_count,exposure_source_weights,signal_conflict,signal_conflict_reasons,confidence_level,confidence_score,confidence_source_coverage,confidence_signal_agreement,confidence_sensitivity,structural_model_version,baseline_v6_exposure,baseline_v6_net_risk,task_primitives_matched_task_weight_share,task_primitives_task_effective_coverage,task_primitives_task_exposure_concentration,task_primitives_method,uncertainty_exposure_p10,uncertainty_exposure_p50,uncertainty_exposure_p90,uncertainty_net_risk_p10,uncertainty_net_risk_p50,uncertainty_net_risk_p90,uncertainty_method,match_quality,education_label,education_tier,pwm_covered,licensed_profession,foreign_worker_dependency,skillsfuture_eligible
12112,Administration manager,MANAGERS,6388,4569,8431,7.5,7.5,estimated_sg_submajor_weighted_2025,12,188.7,0.039497,wage_only,derived_from_official_sg,8,external_proxy,0.7879,0.0000,0.7879,0.7219,0.2191,0.0000,0.5603,0.2786,0.4945,0.7214,0.1581,moderate,0.2813,low,ai_leveraged,,true,-0.0373,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8039,1.0000,0.4500,0.6500,V7,0.7879,0.1703,1.0000,0.0000,0.0000,anthropic_task_penetration_v1,0.6726,0.7879,0.9091,0.1180,0.1570,0.2015,bootstrap_v2,direct,University Degree,external_proxy,false,false,false,false
12221,Advertising/Public relations manager,MANAGERS,8514,5943,13333,8.6,8.6,estimated_sg_submajor_weighted_2025,12,188.7,0.045598,wage_only,derived_from_official_sg,0.25,external_proxy,0.7180,0.0000,0.7180,0.6961,0.2182,0.1200,0.6748,0.4504,0.5844,0.5496,0.1199,low,0.2920,low,ai_leveraged,,true,-0.1368,false,exact,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8862,1.0000,0.8500,0.6500,V7,0.7180,0.1346,,,,,0.6558,0.7180,0.7834,0.0948,0.1192,0.1450,bootstrap_v2,direct,University Degree,external_proxy,false,false,false,false
13430,Aged care services manager,MANAGERS,7759,6091,9997,4.8,4.8,estimated_sg_submajor_weighted_2025,13,121.7,0.039806,wage_only,derived_from_official_sg,3.25,external_proxy,0.3433,0.0000,0.3433,0.7389,0.0897,0.0000,0.5381,0.2673,0.4745,0.7327,0.0657,low,0.1204,very_low,ai_leveraged,,true,-0.1622,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8339,1.0000,0.4500,0.8500,V7,0.3433,0.0705,1.0000,0.0000,0.0000,anthropic_task_penetration_v1,0.2466,0.3433,0.4424,0.0432,0.0650,0.0902,bootstrap_v2,direct,GCE O-Level / Secondary,external_proxy,false,false,false,false
14330,Arts and cultural centre manager (including gallery and museum manager),MANAGERS,4550,3800,6650,3.2,3.2,estimated_sg_submajor_weighted_2025,14,42.7,0.075538,wage_only,derived_from_official_sg,1.6,external_proxy,0.5724,0.0882,0.5825,0.9447,0.0322,0.0000,0.5049,0.2495,0.4421,0.7505,0.0242,very_low,0.2433,low,ai_leveraged,,true,0.1662,false,false,reliability_weighted,divergent,3,aioe:0.3193|anthropic:0.3486|eloundou:0.3321,false,divergent_exposure_sources,medium,0.6624,0.8200,0.4500,0.6500,V7,0.5724,0.0253,1.0000,0.1306,0.6756,anthropic_task_penetration_v1,0.3934,0.5825,0.7654,0.0000,0.0226,0.0529,bootstrap_v2,direct,Graduate Degree,external_proxy,false,false,false,false
14322,Attractions manager,MANAGERS,6195,4300,8080,3.8,3.8,estimated_sg_submajor_weighted_2025,14,42.7,0.088142,wage_only,derived_from_official_sg,2.92,external_proxy,0.4133,0.0882,0.4206,0.8904,0.0461,0.0000,0.5812,0.2885,0.5120,0.7115,0.0328,very_low,0.1918,very_low,ai_leveraged,,true,-0.0192,false,false,reliability_weighted,aligned_mid,2,aioe:0.4780|anthropic:0.5220,false,,medium,0.5174,0.5500,0.8500,0.6500,V7,0.4133,0.0349,1.0000,0.1306,0.6756,anthropic_task_penetration_v1,0.4113,0.4206,0.4308,0.0158,0.0328,0.0496,bootstrap_v2,direct,Polytechnic / ITE Diploma,external_proxy,false,false,false,false
12113,Audit manager,MANAGERS,10041,7692,14166,9.3,9.3,estimated_sg_submajor_weighted_2025,12,188.7,0.049518,wage_only,derived_from_official_sg,8,external_proxy,0.7879,0.0882,0.8018,0.7219,0.2229,0.0000,0.5981,0.3153,0.5679,0.6847,0.1526,moderate,0.3287,low,ai_leveraged,,true,-0.0373,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8039,1.0000,0.4500,0.6500,V7,0.7879,0.1631,1.0000,0.1306,0.6756,anthropic_task_penetration_v1,0.6844,0.8018,0.9252,0.1129,0.1507,0.1933,bootstrap_v2,direct,University Degree,external_proxy,false,false,false,false
12111,Budgeting and financial accounting manager (including financial controller),MANAGERS,9203,6550,14200,8.9,8.9,estimated_sg_submajor_weighted_2025,12,188.7,0.047407,wage_only,derived_from_official_sg,8,external_proxy,0.7879,0.0217,0.7913,0.7219,0.2200,0.0000,0.6195,0.3281,0.5914,0.6719,0.1478,low,0.3379,low,ai_leveraged,,true,-0.0373,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8039,1.0000,0.4500,0.6500,V7,0.7879,0.1608,1.0000,0.3080,0.0705,anthropic_task_penetration_v1,0.6755,0.7913,0.9131,0.1101,0.1460,0.1880,bootstrap_v2,direct,University Degree,external_proxy,false,false,false,false
12212,Business development manager,MANAGERS,8669,5957,13189,8.7,8.7,estimated_sg_submajor_weighted_2025,12,188.7,0.046011,wage_only,derived_from_official_sg,2,external_proxy,0.7738,0.0866,0.7872,0.7291,0.2133,0.0000,0.5719,0.3064,0.5538,0.6936,0.1479,low,0.3178,low,ai_leveraged,,true,-0.0499,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8570,1.0000,0.8500,0.6500,V7,0.7738,0.1574,1.0000,0.3406,0.2542,anthropic_task_penetration_v1,0.7269,0.7872,0.8506,0.1152,0.1478,0.1830,bootstrap_v2,direct,University Degree,external_proxy,false,false,false,false
12242,Call centre manager,MANAGERS,5968,4114,8310,7.2,7.2,estimated_sg_submajor_weighted_2025,12,188.7,0.038176,wage_only,derived_from_official_sg,14.34,external_proxy,0.7109,0.0882,0.7235,0.4572,0.3927,0.0000,0.5505,0.2794,0.4985,0.7206,0.2830,moderate,0.1649,very_low,mixed,,true,0.1357,false,false,reliability_weighted,consensus_high,3,aioe:0.3193|anthropic:0.3486|eloundou:0.3321,false,high_risk_but_positive_labour_market,high,0.7646,0.8200,0.9500,0.6500,V7,0.7109,0.2993,1.0000,0.1306,0.6756,anthropic_task_penetration_v1,0.6766,0.7235,0.7677,0.2460,0.2819,0.3196,bootstrap_v2,direct,Polytechnic / ITE Diploma,external_proxy,false,false,false,false
14122,Catering manager,MANAGERS,4697,3675,6160,3.3,3.3,estimated_sg_submajor_weighted_2025,14,42.7,0.076749,wage_only,derived_from_official_sg,7.22,external_proxy,0.4380,0.0882,0.4457,0.4742,0.2344,0.0000,0.5211,0.2507,0.4412,0.7493,0.1756,moderate,0.0932,very_low,stable,,true,0.1257,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.7814,1.0000,0.4500,0.8500,V7,0.4380,0.1846,1.0000,0.1306,0.6756,anthropic_task_penetration_v1,0.3562,0.4457,0.5336,0.1383,0.1740,0.2152,bootstrap_v2,direct,GCE O-Level / Secondary,external_proxy,false,false,false,false
