schema_version,ssoc,title,major_group,major_group_code,gross_monthly_median_sgd,estimated_employment_thousands,employment_basis,ai_task_exposure_index,human_bottleneck_index,ai_exposure_rank,job_change_band,substitution_pressure_score,substitution_pressure_band,augmentation_potential_score,augmentation_potential_band,likely_pathway,demand_context,adoption_context,adoption_coverage,attrition_absorber,entry_level_sensitivity,evidence_confidence,evidence_limiting_factors,sensitivity_label,sensitivity_minimum_points,sensitivity_maximum_points,reference_market,reference_date
8.0,12112,Administration manager,MANAGERS,1,6388,7.5,estimated_sg_submajor_weighted_2025,0.7879,0.7219,82,very_high,57,moderate,97,very_high,workflow_redesign,mixed,leading,partial,medium,unknown,medium,Signal Agreement|Sensitivity|Market Data Granularity,crosses_band,71,93,Singapore SSOC 2020,2026-07-15
8.0,12221,Advertising/Public relations manager,MANAGERS,1,8514,8.6,estimated_sg_submajor_weighted_2025,0.718,0.6961,74,high,56,moderate,89,very_high,augmentation_led_growth,strong,leading,partial,medium,unknown,medium,Sensitivity,stable,68,76,Singapore SSOC 2020,2026-07-15
8.0,13430,Aged care services manager,MANAGERS,1,7759,4.8,estimated_sg_submajor_weighted_2025,0.3433,0.7389,32,low,29,low,56,moderate,limited_direct_change,mixed,leading,partial,medium,unknown,medium,Signal Agreement|Market Data Granularity,crosses_band,24,40,Singapore SSOC 2020,2026-07-15
8.0,14330,Arts and cultural centre manager (including gallery and museum manager),MANAGERS,1,4550,3.2,estimated_sg_submajor_weighted_2025,0.5724,0.9447,57,moderate,9,very_low,95,very_high,workflow_redesign,mixed,unknown,unknown,medium,unknown,medium,Signal Agreement|Crosswalk Quality|Market Data Granularity|Sensitivity,crosses_band,45,72,Singapore SSOC 2020,2026-07-15
8.0,14322,Attractions manager,MANAGERS,1,6195,3.8,estimated_sg_submajor_weighted_2025,0.4133,0.8904,41,moderate,17,very_low,70,high,workflow_redesign,mixed,unknown,unknown,medium,unknown,medium,Crosswalk Quality|Source Coverage|Sensitivity|Market Data Granularity,crosses_band,39,43,Singapore SSOC 2020,2026-07-15
8.0,12113,Audit manager,MANAGERS,1,10041,9.3,estimated_sg_submajor_weighted_2025,0.7879,0.7219,82,very_high,57,moderate,97,very_high,workflow_redesign,mixed,leading,partial,medium,unknown,medium,Signal Agreement|Sensitivity|Market Data Granularity,crosses_band,71,93,Singapore SSOC 2020,2026-07-15
8.0,12111,Budgeting and financial accounting manager (including financial controller),MANAGERS,1,9203,8.9,estimated_sg_submajor_weighted_2025,0.7879,0.7219,82,very_high,57,moderate,97,very_high,workflow_redesign,mixed,leading,partial,medium,unknown,high,Signal Agreement|Sensitivity|Market Data Granularity,crosses_band,71,93,Singapore SSOC 2020,2026-07-15
8.0,12212,Business development manager,MANAGERS,1,8669,8.7,estimated_sg_submajor_weighted_2025,0.7738,0.7291,79,high,53,moderate,96,very_high,workflow_redesign,mixed,leading,partial,medium,unknown,high,Sensitivity|Market Data Granularity,crosses_band,73,84,Singapore SSOC 2020,2026-07-15
8.0,12242,Call centre manager,MANAGERS,1,5968,7.2,estimated_sg_submajor_weighted_2025,0.7109,0.4572,73,high,73,high,64,high,workflow_redesign,mixed,leading,partial,medium,unknown,medium,Sensitivity|Market Data Granularity|Crosswalk Quality,stable,70,75,Singapore SSOC 2020,2026-07-15
8.0,14122,Catering manager,MANAGERS,1,4697,3.3,estimated_sg_submajor_weighted_2025,0.438,0.4742,43,moderate,59,moderate,48,moderate,workflow_redesign,mixed,unknown,unknown,medium,unknown,medium,Signal Agreement|Market Data Granularity,crosses_band,39,51,Singapore SSOC 2020,2026-07-15
