schema_version,ssoc_2024,title,major_group_code,major_group,sub_major_group_code,minor_group_code,unit_group_code,score_status,ilo_mean_score_2025_median,ilo_mean_score_2025_min,ilo_mean_score_2025_max,ai_work_pressure_percentile,ai_work_pressure_midrank_position,ai_work_pressure_population_size,ilo_potential25_categories,ilo_potential25_least_exposed,ilo_potential25_most_exposed,ilo_task_score_sd_2025_median,ilo_task_score_sd_2025_min,ilo_task_score_sd_2025_max,official_isco08_codes,scored_isco08_codes,unscored_official_isco08_codes,mapping_quality,evidence_support,basic_monthly_p25_sgd,basic_monthly_median_sgd,basic_monthly_p75_sgd,gross_monthly_p25_sgd,gross_monthly_median_sgd,gross_monthly_p75_sgd,wage_reference_period,wage_source_id,direct_demand_signal_count,demand_source_keys,demand_source_occupations,labour_context_grain,labour_context_cluster,labour_context_data_as_of,evidence_data_as_of,limitations
9.0,11110,Legislator,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",11,111,1111,scored,0.31,0.31,0.31,51,503.5,987,Not Exposed,Not Exposed,Not Exposed,0.04,0.04,0.04,1111,1111,,one_to_one,official_crosswalk,,,,,,,,,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.|MOM does not publish a 2025 detailed wage row for this occupation.
9.0,11121,Senior government official,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",11,111,1112,scored,0.38,0.38,0.38,67.6,667.5,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.08,0.08,0.08,1112,1112,,one_to_one,official_crosswalk,,,,,,,,,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.|MOM does not publish a 2025 detailed wage row for this occupation.
9.0,11122,Senior statutory board official,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",11,111,1112,scored,0.38,0.38,0.38,67.6,667.5,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.08,0.08,0.08,1112,1112,,one_to_one,official_crosswalk,,,,,,,,,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.|MOM does not publish a 2025 detailed wage row for this occupation.
9.0,11140,Senior official of political party organisation,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",11,111,1114,scored,0.37,0.37,0.37,63.6,628.5,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.06,0.06,0.06,1114,1114,,one_to_one,official_crosswalk,,,,,,,,,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.|MOM does not publish a 2025 detailed wage row for this occupation.
9.0,11150,Senior official of employers’/workers’ and related economic-interest organisation,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",11,111,1115,scored,0.37,0.37,0.37,63.6,628.5,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.06,0.06,0.06,1114,1114,,one_to_one,official_crosswalk,,,,,,,,,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.|MOM does not publish a 2025 detailed wage row for this occupation.
9.0,11160,Senior official of humanitarian and other special-interest organisation,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",11,111,1116,scored,0.37,0.37,0.37,63.6,628.5,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.06,0.06,0.06,1114,1114,,one_to_one,official_crosswalk,,,,,,,,,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.|MOM does not publish a 2025 detailed wage row for this occupation.
9.0,11201,Managing director/Chief executive officer,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",11,112,1120,scored,0.38,0.38,0.38,67.6,667.5,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.06,0.06,0.06,1120,1120,,one_to_one,official_crosswalk,6800,12378,19981,7144,13000,20000,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,11202,Company director,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",11,112,1120,scored,0.38,0.38,0.38,67.6,667.5,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.06,0.06,0.06,1120,1120,,one_to_one,official_crosswalk,8855,13562,18986,9000,13839,19472,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,11203,Chief operating officer/General manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",11,112,1120,scored,0.38,0.38,0.38,67.6,667.5,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.06,0.06,0.06,1120,1120,,one_to_one,official_crosswalk,9938,13500,19274,10000,13750,19585,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
9.0,12111,Budgeting/Financial accounting manager,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12,121,1211,scored,0.37,0.37,0.37,63.6,628.5,987,Minimal Exposure,Minimal Exposure,Minimal Exposure,0.04,0.04,0.04,1211,1211,,one_to_one,official_crosswalk,7244,9957,14729,7380,10136,15000,2025-06,mom_occupational_wages_2025,0,,,published_broad_occupation_group,pmet,2026 Q1,2026-08-19,Exposure measures task overlap with current GenAI capabilities; it is not a job-loss probability or forecast.
